@relation Sax_prediction-2011-06-30T15:40:59-06:00-weka.filters.unsupervised.attribute.Remove-R1

@attribute n_term numeric
@attribute c_term numeric
@attribute y_num numeric
@attribute c_num numeric
@attribute k_num numeric
@attribute h_num numeric
@attribute r_num numeric
@attribute d_num numeric
@attribute e_num numeric
@attribute u_num numeric
@attribute polar_num numeric
@attribute hydrophobic_num numeric
@attribute pi numeric
@attribute charge_at_2.0 numeric
@attribute charge_at_2.5 numeric
@attribute charge_at_3.0 numeric
@attribute charge_at_3.5 numeric
@attribute charge_at_4.0 numeric
@attribute charge_at_4.5 numeric
@attribute charge_at_5.0 numeric
@attribute charge_at_5.5 numeric
@attribute charge_at_6.0 numeric
@attribute charge_at_6.5 numeric
@attribute charge_at_7.0 numeric
@attribute charge_at_7.5 numeric
@attribute charge_at_8.0 numeric
@attribute charge_at_8.5 numeric
@attribute charge_at_9.0 numeric
@attribute charge_at_9.5 numeric
@attribute charge_at_10.0 numeric
@attribute charge_at_10.5 numeric
@attribute charge_at_11.0 numeric
@attribute charge_at_11.5 numeric
@attribute charge_at_12.0 numeric
@attribute fraction numeric

@data
2.34,8.95,0,1,1,0,0,0,0,0,0,5,8.554443,1.686299,1.408922,1.179497,1.064682,1.021332,1.006625,1.001408,0.998242,0.992505,0.975975,0.926656,0.791987,0.498335,0.052562,-0.425957,-0.819812,-1.13113,-1.450563,-1.736568,-1.89993,-1.966184,5
2.34,8.95,0,1,1,0,0,0,0,0,0,5,8.554443,1.686299,1.408922,1.179497,1.064682,1.021332,1.006625,1.001408,0.998242,0.992505,0.975975,0.926656,0.791987,0.498335,0.052562,-0.425957,-0.819812,-1.13113,-1.450563,-1.736568,-1.89993,-1.966184,5
2.34,8.95,0,1,1,0,0,0,0,0,0,5,8.554443,1.686299,1.408922,1.179497,1.064682,1.021332,1.006625,1.001408,0.998242,0.992505,0.975975,0.926656,0.791987,0.498335,0.052562,-0.425957,-0.819812,-1.13113,-1.450563,-1.736568,-1.89993,-1.966184,5
2.18,9.04,0,0,2,0,1,0,0,0,1,2,11.676025,3.602158,3.323698,3.131458,3.045674,3.0149,3.004733,3.001414,3.000171,2.999181,2.996984,2.990384,2.970098,2.910505,2.757558,2.465347,2.0857,1.63977,1.057674,0.484968,0.102231,-0.182116,5
2.34,8.95,1,0,1,0,0,0,0,0,0,6,9.418701,1.6863,1.408924,1.179504,1.064703,1.021397,1.006832,1.002059,1.0003,0.998983,0.996171,0.987781,0.962125,0.887737,0.702654,0.364146,-0.077562,-0.605831,-1.184436,-1.632942,-1.864585,-1.954723,5
2.36,8.95,0,0,1,0,0,0,0,0,2,4,9.739502,1.696129,1.4201,1.186387,1.067546,1.022384,1.007156,1.00217,1.00036,0.999079,0.996444,0.988632,0.964809,0.896177,0.728864,0.442584,0.134511,-0.146039,-0.455326,-0.738079,-0.900408,-0.966336,5
2.02,9.04,0,0,0,0,1,0,0,0,2,4,10.760498,1.511511,1.248759,1.094786,1.032049,1.010354,1.003272,1.000955,1.000043,0.999193,0.997156,0.990969,0.971961,0.916389,0.77605,0.522679,0.256418,0.095513,0.023149,-0.021206,-0.091332,-0.247664,5
2.34,9.04,0,0,1,0,1,0,0,0,1,5,11.513428,2.6863,2.408924,2.179504,2.064704,2.0214,2.006841,2.002089,2.000394,1.999278,1.997099,1.990686,1.971032,1.913448,1.766804,1.494013,1.171059,0.867641,0.540411,0.231881,0.00545,-0.21489,5
2.36,8.95,0,0,1,0,1,0,0,0,2,3,11.511963,2.696129,2.4201,2.186387,2.067546,2.022384,2.007156,2.00217,2.00036,1.999078,1.996442,1.988629,1.964799,1.896144,1.728759,1.442253,1.133465,0.85066,0.534311,0.229869,0.004805,-0.215095,5
2.11,8.95,0,0,2,0,0,1,0,0,1,3,9.565186,2.541088,2.223346,1.931201,1.624638,1.321471,1.127791,1.043927,1.013962,1.003396,0.997729,0.988774,0.964015,0.893278,0.719631,0.413922,0.049153,-0.37391,-0.938064,-1.484992,-1.803626,-1.933562,5
2.11,8.95,0,0,2,0,0,0,0,0,1,4,10.551025,2.562985,2.28946,2.114122,2.03914,2.012707,2.00402,2.001169,2.000034,1.998949,1.996319,1.988327,1.963874,1.893234,1.719617,1.413917,1.049152,0.626089,0.061936,-0.484992,-0.803626,-0.933562,5
2.32,9.04,0,0,0,0,2,0,0,0,2,3,12.480225,2.676302,2.397842,2.172821,2.061972,2.020456,2.006535,2.001994,2.000372,1.999297,1.997188,1.990977,1.971954,1.916357,1.775946,1.522348,1.255372,1.092212,1.012786,0.946742,0.813881,0.503577,5
2.02,9.04,0,0,1,0,1,0,0,0,3,2,11.513428,2.511511,2.248759,2.094786,2.032049,2.010353,2.003271,2.000952,2.000033,1.999164,1.997063,1.990674,1.971029,1.913447,1.766804,1.494013,1.171059,0.867641,0.540411,0.231881,0.00545,-0.21489,5
2.21,8.95,0,0,4,0,0,1,0,0,2,1,10.540771,4.596687,4.272886,3.956626,3.634279,3.324711,3.128834,3.044254,3.014049,3.00337,2.997553,2.988187,2.962151,2.887394,2.701139,2.35659,1.878435,1.170347,0.096462,-0.978818,-1.610063,-1.868014,5
2.34,8.95,0,0,1,0,0,1,1,0,1,5,3.97168,1.658811,1.325338,0.943342,0.499222,-0.029773,-0.50946,-0.804194,-0.932504,-0.979012,-0.996557,-1.009147,-1.034488,-1.103601,-1.271066,-1.557394,-1.865482,-2.146037,-2.455325,-2.738079,-2.900408,-2.966336,5
